"","kME_MM.turquoise","kME_MM.yellow","kME_MM.brown","kME_MM.blue","kME_MM.green","kME_MM.grey"
"Gene.865",0.865740059049105,0.618911582308552,0.376703015480995,-0.24958546525311,-0.330895152912663,0.346842877769829
"Gene.866",0.495703566967238,0.0752716859619556,0.88981712648474,0.510305710000533,0.404839116481088,-0.343926008692415
"Gene.867",0.922065069574139,0.56185923050933,0.495527009152094,-0.176458112669485,-0.221318199047293,0.301309899924022
"Gene.868",0.953115099027841,0.783490005246995,0.432306186692668,-0.306268742458843,-0.320251359438754,0.295378149642227
"Gene.869",0.347710411001112,0.543964222480377,-0.548479741828839,-0.785918843058599,-0.714120308069979,0.741725613459001
"Gene.870",0.842591835258494,0.670573074931269,0.321625162228203,-0.328047792487879,-0.589856937749213,0.208500288503329
"Gene.871",-0.242495300020008,-0.500956281589378,0.537854141055456,0.753297673463688,0.906238150187417,-0.485618823381959
"Gene.872",-0.46899062924081,-0.55880375991183,0.33774859458609,0.711493971416744,0.873426169531414,-0.422125166656352
"Gene.873",0.784155120294285,0.669570317848084,0.0778742928067279,-0.506309353493979,-0.551602635323771,0.436673389111784
"Gene.874",0.942611369798509,0.582596308974804,0.537730927179582,-0.188746609044604,-0.350534245543223,0.104706948346782
"Gene.875",0.846263631834922,0.625210738834126,0.374015007951721,-0.238613372955875,-0.350836605366035,0.269608043524537
"Gene.876",0.951461789927766,0.641133212773413,0.499271081200677,-0.213738558118086,-0.340366786984231,0.231312017882679
"Gene.877",0.871659275459177,0.590578485036672,0.252373098246115,-0.408134157032125,-0.549973160704013,0.295167632292658
"Gene.878",0.873329506726655,0.6681751783198,0.290139651532384,-0.37445468551317,-0.606105740044121,0.240530860493675
"Gene.879",0.939054692770684,0.606650136209959,0.52686907309051,-0.199346383486183,-0.248344845386428,0.15781269329858
"Gene.880",0.471704687492981,0.513549376432315,-0.214968266335195,-0.588598424037196,-0.647339856718139,0.497088842908645
"Gene.881",0.805999856554409,0.690678436133042,0.227682843628255,-0.395764896656575,-0.250698084097526,0.363242483818903
"Gene.882",0.841373005093925,0.671499036307259,0.248604342039692,-0.381407899823586,-0.447705745445119,0.33911582671555
"Gene.883",0.960376107893526,0.678601397832259,0.466219009680379,-0.275390178626646,-0.374166734498789,0.218587523539929
